,longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
24882,37.662,55.893,11,1,0,1,1,0,"37.662,55.893",0
24883,37.413425,55.829047,09,0,0,5,1,0,"37.413425,55.829047",0
24884,37.683256,55.894771,09,0,0,4,2,0,"37.683256,55.894771",0
24885,37.543459,55.873537,11,1,1,3,1,0,"37.543459,55.873537",0
24886,37.515038,55.668074,08,2,1,2,1,0,"37.515038,55.668074",0
24887,37.439958,55.84965,08,2,0,3,1,0,"37.439958,55.84965",0
24888,37.865818,55.815239,02,0,0,2,1,0,"37.865818,55.815239",0
24889,37.469559,55.809674,08,0,1,1,1,0,"37.469559,55.809674",0
24890,37.83951,55.754201,04,0,2,3,1,1,"37.83951,55.754201",0
24891,37.538288,55.676356,02,0,0,2,1,0,"37.538288,55.676356",0
24892,37.461126,55.871122,02,0,0,2,1,0,"37.461126,55.871122",0
24893,37.829436,55.730544,04,0,0,2,1,0,"37.829436,55.730544",0
24894,37.411215,55.829372,08,1,1,2,1,0,"37.411215,55.829372",0
24895,37.670563,55.725817,08,0,0,3,1,0,"37.670563,55.725817",0
24896,37.651414,55.726277,01,0,1,2,1,0,"37.651414,55.726277",0
24897,37.573671,55.804163,07,0,0,3,1,0,"37.573671,55.804163",0
24898,37.410085,55.805191,04,1,0,1,1,0,"37.410085,55.805191",0
24899,37.67033,55.602993,02,0,0,5,1,0,"37.67033,55.602993",0
24900,37.475159,55.767527,02,0,0,2,1,0,"37.475159,55.767527",0
24901,37.309645,55.799773,06,1,0,2,1,0,"37.309645,55.799773",0
24902,37.148895,55.978024,02,0,0,2,1,0,"37.148895,55.978024",0
24903,37.595987,55.581316,01,0,0,2,1,0,"37.595987,55.581316",0
24904,37.230349,55.736148,06,0,0,2,1,0,"37.230349,55.736148",0
24905,37.381861,55.616365,06,0,1,1,1,0,"37.381861,55.616365",0
24906,37.710228,55.758635,10,1,1,3,2,0,"37.710228,55.758635",0
24907,37.698051,55.643499,09,0,0,2,1,0,"37.698051,55.643499",0
24908,37.6322,55.777,01,1,0,3,2,0,"37.6322,55.777",0
24909,37.787122,55.746856,03,0,0,2,1,0,"37.787122,55.746856",0
24910,37.702434,55.748503,01,0,1,2,1,0,"37.702434,55.748503",0
24911,37.436246,55.874276,11,0,0,3,2,0,"37.436246,55.874276",0
24912,37.624987,55.759565,11,1,0,2,1,0,"37.624987,55.759565",0
24913,37.402536,55.803615,11,0,0,2,1,0,"37.402536,55.803615",0
24914,37.6081,55.761485,11,0,1,2,1,0,"37.6081,55.761485",0
24915,37.46,55.67,10,0,0,2,1,0,"37.46,55.67",0
24916,37.398244,55.832216,11,0,0,2,1,0,"37.398244,55.832216",0
24917,37.408827,55.714508,04,1,0,2,2,0,"37.408827,55.714508",0
24918,37.432973,55.87513,11,1,2,1,0,1,"37.432973,55.87513",0
24919,37.408909,55.806913,06,0,0,2,1,0,"37.408909,55.806913",0
24920,37.211756,56.000751,11,1,0,2,1,0,"37.211756,56.000751",0
24921,36.962128,55.716814,06,0,0,1,1,0,"36.962128,55.716814",0
24922,37.824662,55.64356,05,1,0,3,1,0,"37.824662,55.64356",0
24923,37.693791,55.861778,03,1,0,3,1,0,"37.693791,55.861778",0
24924,37.725978,55.779047,10,1,0,2,1,0,"37.725978,55.779047",0
24925,37.2365,55.7561,10,0,0,4,2,0,"37.2365,55.7561",0
24926,37.842,55.76,10,1,1,3,1,0,"37.842,55.76",0
24927,37.869142,55.70647,04,0,0,2,1,0,"37.869142,55.70647",0
24928,37.451427,55.671057,06,0,0,3,1,0,"37.451427,55.671057",0
24929,37.823224,55.72218,10,1,0,2,1,0,"37.823224,55.72218",0
