longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
37.518911,55.80075,8,0,0,2,1,0,"37.518911,55.80075",0
37.517806,55.802445,11,1,0,2,1,0,"37.517806,55.802445",0
37.518386,55.803675,7,0,0,4,3,0,"37.518386,55.803675",0
37.5197,55.757211,5,0,0,2,1,0,"37.5197,55.757211",0
37.520167,55.764841,12,1,0,2,1,0,"37.520167,55.764841",0
37.519455,55.773753,3,0,0,2,1,0,"37.519455,55.773753",0
37.520016,55.774437,5,1,0,2,1,0,"37.520016,55.774437",0
37.5195,55.7774,7,1,1,1,1,0,"37.5195,55.7774",0
37.519265,55.786908,11,1,1,3,1,0,"37.519265,55.786908",0
37.519544,55.78838,9,1,0,2,1,0,"37.519544,55.78838",0
37.51918,55.795467,3,1,1,2,1,0,"37.51918,55.795467",0
37.519111,55.798892,12,1,0,2,1,0,"37.519111,55.798892",0
37.519351,55.79981,9,0,0,2,1,0,"37.519351,55.79981",0
37.520124,55.802975,6,0,0,3,2,0,"37.520124,55.802975",0
37.519448,55.803796,9,1,0,1,1,0,"37.519448,55.803796",0
37.5203,55.8056,2,0,0,2,1,0,"37.5203,55.8056",0
37.521273,55.753129,3,1,0,2,1,0,"37.521273,55.753129",0
37.520585,55.754506,7,0,0,4,2,0,"37.520585,55.754506",0
37.520757,55.770333,12,1,0,2,1,0,"37.520757,55.770333",0
37.5211,55.77568,11,1,0,3,1,0,"37.5211,55.77568",0
37.520663,55.777244,10,0,0,2,1,0,"37.520663,55.777244",0
37.521186,55.793543,8,0,0,2,1,0,"37.521186,55.793543",0
37.521486,55.754844,3,0,0,2,1,0,"37.521486,55.754844",0
37.521508,55.760501,9,1,0,3,1,0,"37.521508,55.760501",0
37.520776,55.761515,3,0,0,4,1,0,"37.520776,55.761515",0
37.52154,55.768317,7,0,0,2,2,0,"37.52154,55.768317",0
37.5206,55.7741,9,0,0,2,1,0,"37.5206,55.7741",0
37.521218,55.775891,10,1,0,2,1,0,"37.521218,55.775891",0
37.5217,55.7774,10,1,1,2,1,0,"37.5217,55.7774",0
37.52159,55.777796,8,0,0,3,1,0,"37.52159,55.777796",0
37.521008,55.784678,12,1,0,2,1,0,"37.521008,55.784678",0
37.521529,55.803518,11,0,0,3,1,0,"37.521529,55.803518",0
37.522902,55.762034,8,0,0,2,1,0,"37.522902,55.762034",0
37.522988,55.766519,3,1,0,5,3,0,"37.522988,55.766519",0
37.522783,55.767401,11,0,0,6,5,0,"37.522783,55.767401",0
37.522441,55.768004,4,1,0,1,1,0,"37.522441,55.768004",0
37.522014,55.768797,8,0,1,2,2,0,"37.522014,55.768797",0
37.522023,55.769959,10,1,0,2,1,0,"37.522023,55.769959",0
37.522613,55.777526,12,0,0,2,1,0,"37.522613,55.777526",0
37.5218,55.7778,4,0,0,2,1,0,"37.5218,55.7778",0
37.522591,55.784067,3,1,0,3,1,0,"37.522591,55.784067",0
37.522151,55.789526,6,0,0,2,1,0,"37.522151,55.789526",0
37.522386,55.793303,6,0,0,2,1,0,"37.522386,55.793303",0
37.52298,55.803046,2,1,2,3,2,1,"37.52298,55.803046",0
37.522463,55.803277,12,1,0,3,1,0,"37.522463,55.803277",0
37.521911,55.805765,9,0,0,2,1,0,"37.521911,55.805765",0
37.52362,55.75525,2,0,2,2,0,1,"37.52362,55.75525",0
37.523375,55.755327,6,0,1,2,1,0,"37.523375,55.755327",0
37.523975,55.75671,1,1,0,2,1,0,"37.523975,55.75671",0
37.524183,55.767427,5,0,0,3,1,0,"37.524183,55.767427",0
37.523568,55.767871,10,0,0,2,2,0,"37.523568,55.767871",0
37.523514,55.769549,8,1,0,2,1,0,"37.523514,55.769549",0
37.523954,55.770074,5,0,0,3,1,0,"37.523954,55.770074",0
37.523611,55.773103,10,1,0,2,1,0,"37.523611,55.773103",0
37.52346,55.778244,1,1,0,2,1,0,"37.52346,55.778244",0
37.523847,55.779053,11,1,0,2,1,0,"37.523847,55.779053",0
37.523192,55.792096,11,1,0,2,1,0,"37.523192,55.792096",0
37.524383,55.802143,5,0,1,2,1,0,"37.524383,55.802143",0
37.523825,55.802728,1,1,0,2,1,0,"37.523825,55.802728",0
37.524619,55.75549,11,1,2,2,0,1,"37.524619,55.75549",0
37.523589,55.77317,11,0,0,3,1,0,"37.523589,55.77317",0
37.5242,55.7787,2,0,1,2,1,0,"37.5242,55.7787",0
37.524812,55.79244,11,1,0,3,1,0,"37.524812,55.79244",0
37.524565,55.803343,2,1,0,2,1,0,"37.524565,55.803343",0
37.525101,55.761495,6,0,0,1,1,0,"37.525101,55.761495",0
37.525252,55.771377,8,0,0,2,1,0,"37.525252,55.771377",0
37.525477,55.771878,12,1,0,2,1,0,"37.525477,55.771878",0
37.525019,55.795889,9,0,0,2,1,0,"37.525019,55.795889",0
37.5258,55.7996,10,0,1,2,1,0,"37.5258,55.7996",0
37.525091,55.80221,10,1,0,2,1,0,"37.525091,55.80221",0
37.525048,55.802451,7,1,0,1,1,0,"37.525048,55.802451",0
37.525541,55.804651,5,0,0,3,1,0,"37.525541,55.804651",0
37.526743,55.755098,9,1,1,1,1,0,"37.526743,55.755098",0
37.525992,55.765336,1,0,0,2,1,0,"37.525992,55.765336",0
37.52684,55.768704,8,1,0,2,1,0,"37.52684,55.768704",0
37.526507,55.772844,7,0,0,2,1,0,"37.526507,55.772844",0
37.527148,55.773815,11,0,0,2,1,0,"37.527148,55.773815",0
37.52714,55.77711,2,0,0,3,1,0,"37.52714,55.77711",0
